rank,score,PAS,PDP,NMSE,NMSE_dB,variant,source_file,source_index,config
1,0.2039702976,0.3958335817,0.1138854995,2418.4013671875,33.8352837969,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/pca_dimension_curve_shape.json,2,delay_taps=16; diag_pca_true_phase_nmse_db=-3.4141754080284277; diag_pred_true_phase_true_energy_nmse_db=-0.503170060373697; diag_true_power_knn_phase_nmse_db=2.705349912735346; hybrid_power_latent_mse=89.76224517822266; knn_power_latent_mse=89.76224517822266; phase_k=1; power_components=256; power_pca_explained_variance_ratio_sum=0.994642596337042; power_target_mode=shape; residual_weight=0.0
2,0.2039507890,0.3957622647,0.1139080450,2418.3989257812,33.8352794126,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/pca_dimension_curve_raw.json,2,delay_taps=16; diag_pca_true_phase_nmse_db=-3.408583624159649; diag_pred_true_phase_true_energy_nmse_db=-0.5031784894471957; diag_true_power_knn_phase_nmse_db=2.705349912735346; hybrid_power_latent_mse=176.6737823486328; knn_power_latent_mse=176.6737823486328; phase_k=1; power_components=256; residual_weight=0.0
3,0.2036428633,0.3952918351,0.1136086583,2418.3750000000,33.8352364467,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/pca_dimension_curve_raw.json,1,delay_taps=16; diag_pca_true_phase_nmse_db=-3.1924127429166864; diag_pred_true_phase_true_energy_nmse_db=-0.4778871339671736; diag_true_power_knn_phase_nmse_db=2.705349912735346; hybrid_power_latent_mse=233.03402709960938; knn_power_latent_mse=233.03402709960938; phase_k=1; power_components=192; residual_weight=0.0
4,0.2036108883,0.3951615393,0.1136590168,2418.3781738281,33.8352421462,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/pca_dimension_curve_shape.json,1,delay_taps=16; diag_pca_true_phase_nmse_db=-3.20010759657595; diag_pred_true_phase_true_energy_nmse_db=-0.4775883490101571; diag_true_power_knn_phase_nmse_db=2.705349912735346; hybrid_power_latent_mse=117.15069580078125; knn_power_latent_mse=117.15069580078125; phase_k=1; power_components=192; power_pca_explained_variance_ratio_sum=0.9847876049549048; power_target_mode=shape; residual_weight=0.0
5,0.2034334021,0.3944684863,0.1139083579,2418.4196777344,33.8353166787,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/pca_dimension_curve_raw.json,3,delay_taps=16; diag_pca_true_phase_nmse_db=-3.9703871500923067; diag_pred_true_phase_true_energy_nmse_db=-0.5471396139612408; diag_true_power_knn_phase_nmse_db=2.705349912735346; hybrid_power_latent_mse=119.47942352294922; knn_power_latent_mse=119.47942352294922; phase_k=1; power_components=384; residual_weight=0.0
6,0.2029736577,0.3930779397,0.1141495407,2418.3886718750,33.8352609987,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/pca_dimension_curve_shape.json,0,delay_taps=16; diag_pca_true_phase_nmse_db=-2.8920421636652813; diag_pred_true_phase_true_energy_nmse_db=-0.4531760592830777; diag_true_power_knn_phase_nmse_db=2.705349912735346; hybrid_power_latent_mse=169.40000915527344; knn_power_latent_mse=169.40000915527344; phase_k=1; power_components=128; power_pca_explained_variance_ratio_sum=0.9652094756481555; power_target_mode=shape; residual_weight=0.0
7,0.2027705670,0.3924212754,0.1142984778,2418.3818359375,33.8352487227,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/pca_dimension_curve_raw.json,0,delay_taps=16; diag_pca_true_phase_nmse_db=-2.8775535458780266; diag_pred_true_phase_true_energy_nmse_db=-0.45295395833617585; diag_true_power_knn_phase_nmse_db=2.705349912735346; hybrid_power_latent_mse=343.1758728027344; knn_power_latent_mse=343.1758728027344; phase_k=1; power_components=128; residual_weight=0.0
8,0.2025077636,0.3919591606,0.1141035855,2418.3986816406,33.8352789742,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/pca_dimension_curve_delay_grouped.json,1,delay_taps=16; diag_pca_true_phase_nmse_db=-2.6505943113815973; diag_pred_true_phase_true_energy_nmse_db=-0.4707164808955018; diag_true_power_knn_phase_nmse_db=2.705349912735346; hybrid_power_latent_mse=160.32891845703125; knn_power_latent_mse=160.32891845703125; phase_k=1; power_components=256; power_pca_explained_variance_ratio_sum=0.9300655276120526; power_pca_mode=delay_grouped; power_target_mode=raw; residual_weight=0.0
9,0.1998241272,0.3849795163,0.1143741384,2418.3935546875,33.8352697672,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/pca_dimension_curve_delay_grouped.json,0,delay_taps=16; diag_pca_true_phase_nmse_db=-2.2054220709379404; diag_pred_true_phase_true_energy_nmse_db=-0.43798218682219664; diag_true_power_knn_phase_nmse_db=2.705349912735346; hybrid_power_latent_mse=206.90472412109375; knn_power_latent_mse=206.90472412109375; phase_k=1; power_components=192; power_pca_explained_variance_ratio_sum=0.9113115090696073; power_pca_mode=delay_grouped; power_target_mode=raw; residual_weight=0.0
10,0.1965195025,0.3783023655,0.1127733439,2240.6823730469,33.5038029767,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/pca_dimension_curve_shape.json,2,delay_taps=16; diag_pca_true_phase_nmse_db=-3.4141754080284277; diag_pred_true_phase_true_energy_nmse_db=-0.503170060373697; diag_true_power_knn_phase_nmse_db=2.705349912735346; hybrid_power_latent_mse=89.76224517822266; knn_power_latent_mse=89.76224517822266; phase_k=1; power_components=256; power_pca_explained_variance_ratio_sum=0.994642596337042; power_target_mode=shape; residual_weight=0.0
